Question,A,B,C,D,Answer,Subject
"To characterize a binge eating episode one must investigate the presence of:
","If patients feel that their eating habits are chaotic, regardless of meal size.",The consumption of large quantities of sweets between meals.,The feeling that one cannot choose the type of food eaten even if their quantity is kept under control.,None of the above are correct,D,nutrition
What is a strategic alliance?,Any form of partnership between one firm and another,Formal agreement committing two or more firms to exchange resources to produce products or services,Formal agreement to share profits from a shared investment,Formal agreement to share knowledge,B,management
What do you call a young cow?,mare,lamb,kid,None of the above are correct,D,miscellaneous
Which of the following is true about Addisons Disease?,It is due to a deficiency of prolactin hormone,Leads to generalized pigmentation,It is a recognized cause of hypertension,Diabetes is a complication,B,clinical_knowledge
Socioemotional selectivity theory says that older adults have smaller social networks because they,Are more concerned with those closest to them,Select new network members based on emotional factors,Can no longer get out to select new network members,Are too emotionally involved to spend time with others,A,human_aging
In what situation are closed pouches applied?,The patient has a semi-formed or liquid output.,In the immediate post-operative period.,The patient has a urostomy.,None of the above are correct,D,clinical_knowledge
During the current year Cooley Co. had an unrealized gain of $100000 on a debt investment classified as available-for-sale. Cooley's corporate tax rate is 25%. What amount of the gain should be included in Cooley's net income and other comprehensive income at the end of the current year? Net income Other comprehensive income,$100000 $0,$75000 $25000,$25000 $75000,$0 $75000,D,professional_accounting
"A patient has a fracture in which the radius is bent but not displaced, and the skin is intact. This type of fracture is known as which of the following?","Closed, greenstick","Complex, comminuted","Compound, transverse","Open, spiral",A,anatomy
"Which of the following statements is incorrect regarding fatty acid ß-oxidation?
","The major site of fatty acid ß-oxidation is the peroxisomes, the mitochondria also contain enzymes for this pathway",Within the liver peroxisomes serve to oxidise very long chain fatty acids to medium chain products,The rate of b-oxidation is regulated by the availability of fatty acids and the rate of utilisation of b-oxidation products,Peroxisomes are the site for the degradation of xenobiotics and eicosanoids,A,nutrition
Which virus infection was not first identified by clinical observation?,HIV,Rubella teratogenicity,Microcephaly and Zika,Hepatitis C,D,virology
Centenarians are people who,Were born before the centennial,Study old age and older adults,Have not yet reached old age,None of the above are correct,D,human_aging
"As of 2019, which of the following had the lowest life expectancy?",Brazil,China,Iran,None of the above are correct,D,global_facts
Grant Co.'s sales budget shows the following projections for the year ending December 31: Quarter Units First 30000 Second 40000 Third 22500 Fourth 27500 Total 120000 Inventory at the beginning of the year was budgeted at 9000 units. The quantity of finished goods inventory at the end of each quarter is to equal 30% of the next quarter's budgeted sales of units. What amount should the production budget show for units to be produced during the first quarter?,36000,33000,24000,12000,B,professional_accounting
Which of the following improves attitudes toward aging and older adults?,Staying away from older adults,Travelling to older communities,Watching the portrayals of older adults in movies and on TV,None of the above are correct,D,human_aging
Which of the following does NOT increase the risk of falling?,Taking many prescription medications,Visual impairment,A change in walking style or gait,None of the above are correct,D,human_aging
Which of the three following organisational characteristics of small businesses tend to characterise their engagement with business related issues?,"Size and complexity, owner and family member influence on the organisation, shareholder and stakeholder power","Lack of organisational resources, size and complexity, owner and family member influence","Informal relationships, owner and family member influence on the organisation, lack of organisational resources","Bureaucratic and formal organisational structure, lack of organisational resources, conflicts of interest",C,business_ethics
"A 54-year-old man comes to the physician for a follow-up examination 10 days after undergoing a stereotactic brain operation to remove a small tumor. The operation was successful. During the procedure, he was under conscious sedation. The patient recalls that at one point during the operation he experienced a sudden, intense feeling of overwhelming fear. Which of the following areas of the brain was most likely stimulated at that time?",Hippocampus,Mammillary body,Prefrontal cortex,None of the above are correct,D,professional_medicine
